id,title,score_final,Drama,Comedy,Horror,Romance
36929,Big Bully,7.83,0,1,0,0
9102,Screamers,55.02,0,0,1,0
124626,Nico Icon,3.89,0,0,0,0
27526,The Crossing Guard,27.52,1,0,0,0
9623,The Juror,32.51,1,0,0,0
46785,The White Balloon,9.6,1,0,0,0
400,Things to Do in Denver When You're Dead,31.02,1,0,0,0
880,Antonia's Line,11.7,1,1,0,0
146599,Once Upon a Time... When We Were Colored,2.53,1,0,0,1
188588,Last Summer in the Hamptons,0.27,0,0,0,0
8447,Angels and Insects,8.7,1,0,0,1
10534,White Squall,33.1,1,0,0,0
17414,Dunston Checks In,22.15,0,1,0,0
13997,Black Sheep,44.08,0,1,0,0
2086,Nick of Time,62.86,1,0,0,0
61548,The Journey of August King,3.79,1,0,0,0
9095,Mary Reilly,31.81,1,0,1,1
12158,Vampire in Brooklyn,40.24,0,1,1,1
9283,Beautiful Girls,35.88,1,1,0,1
9208,Broken Arrow,147.46,1,0,0,0
40154,A Midwinter's Tale,5.06,0,1,0,0
406,La Haine,217.71,1,0,0,0
45549,Shopping,7.47,1,0,0,0
63076,Heidi Fleiss: Hollywood Madam,4.24,0,0,0,0
11062,City Hall,24.9,1,0,0,0
13685,Bottle Rocket,91.67,1,1,0,0
47475,Mr. Wrong,7.78,0,1,0,1
2045,Unforgettable,9.95,1,0,0,0
9614,Happy Gilmore,237.5,0,1,0,0
688,The Bridges of Madison County,125.0,1,0,0,1
11907,Nobody Loves Me,4.05,1,1,0,0
10874,Muppet Treasure Island,33.95,0,1,0,0
89333,Catwalk,3.89,0,0,0,0
96357,Headless Body in Topless Bar,0.0,0,0,0,0
197,Braveheart,1034.66,1,0,0,0
103,Taxi Driver,799.89,1,0,0,0
33542,Rumble in the Bronx,82.26,0,1,0,0
43566,Before and After,14.89,1,0,0,0
71754,Margaret's Museum,3.79,1,0,0,0
43612,Happiness Is in the Field,10.33,0,1,0,0
51352,Anne Frank Remembered,4.24,1,0,0,0
16934,The Young Poisoner's Handbook,11.55,1,1,0,0
10324,If Lucy Fell,6.91,0,1,0,1
78406,Steal Big Steal Little,4.9,1,1,0,0
55731,Race the Sun,9.04,1,1,0,0
32119,The Boys of St. Vincent,5.33,1,0,0,0
11066,Boomerang,47.11,0,1,0,1
11104,Chungking Express,81.25,1,1,0,1
37975,The Star Maker,12.27,1,0,0,1
2074,Flirting with Disaster,25.11,0,1,0,1
27793,The Neverending Story III: Escape from Fantasia,36.39,0,0,0,0
44284,The Silences of the Palace,2.82,1,0,0,0
290157,Jupiter's Wife,0.0,0,0,0,0
110972,Pie in the Sky,3.75,0,1,0,1
32622,Angela,6.04,1,1,0,0
73067,Frankie Starlight,3.68,1,0,0,1
11863,Jade,21.25,0,0,0,1
55475,Nueba Yol,2.65,1,1,0,1
124636,Sonic Outlaws,0.0,0,0,0,0
9101,Down Periscope,37.83,0,1,0,0
123360,From the Journals of Jean Seberg,3.34,0,0,0,0
5757,Man of the Year,2.39,0,1,0,0
39428,The Neon Bible,4.57,1,0,0,0
9302,Up Close & Personal,19.36,1,0,0,1
11000,The Birdcage,96.83,0,1,0,0
249882,Virgin Mary,3.86,1,0,0,0
16388,The Brothers McMullen,10.44,1,1,0,1
9737,Bad Boys,525.93,0,1,0,0
30765,The Amazing Panda Adventure,12.49,1,0,0,0
10474,The Basketball Diaries,148.19,1,0,0,0
22279,An Awfully Big Adventure,6.16,1,1,0,1
30157,Amateur,9.78,1,1,0,0
568,Apollo 13,503.4,1,0,0,0
11780,Rob Roy,53.0,0,0,0,0
34996,The Addiction,17.93,1,0,1,0
414,Batman Forever,467.44,0,0,0,0
649,Belle de Jour,56.89,1,0,0,1
1873,Beyond Rangoon,9.88,1,0,0,0
5894,Blue in the Face,16.88,0,1,0,0
1775,Canadian Bacon,22.16,0,1,0,0
8839,Casper,322.31,0,1,0,0
20649,Clockers,25.7,1,0,0,0
10329,Congo,69.83,1,0,0,0
8963,Crimson Tide,159.53,1,0,0,0
26564,Crumb,26.15,0,0,0,0
8068,Desperado,275.6,0,0,0,0
8512,Devil in a Blue Dress,31.24,1,0,0,0
1572,Die Hard: With a Vengeance,638.53,0,0,0,0
13552,The Doom Generation,22.9,1,1,0,0
259209,Feast of July,0.26,1,0,0,0
6520,First Knight,105.65,1,0,0,1
9073,Free Willy 2 - The Adventure Home,44.99,0,0,0,0
10428,Hackers,131.69,1,0,0,0
17447,Jeffrey,9.9,1,1,0,1
9886,Johnny Mnemonic,122.06,1,0,0,0
9482,Judge Dredd,199.15,0,0,0,0
19326,Jury Duty,13.64,1,1,0,0
9344,Kids,89.16,1,0,0,0
9071,Living in Oblivion,27.11,1,1,0,0
8973,Lord of Illusions,30.51,0,0,1,0
15730,Love & Human Remains,5.08,1,1,0,0
47608,Mad Love,11.61,1,0,0,1
2293,Mallrats,126.85,0,1,0,1
9070,Mighty Morphin Power Rangers: The Movie,51.49,0,0,0,0
68274,Moonlight and Valentino,5.75,1,1,0,1
48787,Mute Witness,14.59,0,0,0,0
34574,Nadja,9.82,0,0,1,0
1642,The Net,116.59,1,0,0,0
11472,Nine Months,57.74,0,1,0,0
36196,Party Girl,7.1,0,1,0,0
11980,The Prophecy,49.35,0,0,1,0
58372,Reckless,4.36,1,1,0,0
32646,Safe,25.57,1,0,0,0
10533,The Scarlet Letter,38.88,1,0,0,1
56088,The Show,2.8,0,0,0,0
10802,Showgirls,89.01,1,0,0,0
10149,Smoke,40.16,1,1,0,0
18402,Something to Talk About,22.15,0,1,0,0
9348,Species,146.05,0,0,1,0
139408,The Stars Fell on Henrietta,4.9,1,0,0,0
281,Strange Days,108.53,1,0,0,0
5967,The Umbrellas of Cherbourg,42.81,1,0,0,1
79593,The Tie That Binds,5.45,0,0,0,0
47939,Three Wishes,13.34,1,0,0,0
36834,Total Eclipse,38.47,1,0,0,1
9090,"To Wong Foo, Thanks for Everything! Julie Newmar",41.45,0,1,0,0
3512,Under Siege 2: Dark Territory,71.09,0,0,0,0
52856,Unstrung Heroes,6.7,1,1,0,0
77350,Unzipped,4.59,0,0,0,0
9560,A Walk in the Clouds,57.86,1,0,0,1
9804,Waterworld,315.9,0,0,0,0
31611,White Man's Burden,10.46,1,0,0,0
65796,Wild Bill,14.92,0,0,0,0
49805,The Browning Version,7.56,1,0,0,0
26258,Bushwhacked,12.3,0,1,0,0
50797,Burnt by the Sun,14.42,1,0,0,0
19155,Before the Rain,18.34,1,0,0,0
76,Before Sunrise,303.93,1,0,0,1
11017,Billy Madison,145.0,0,1,0,0
37141,The Babysitter,11.36,1,0,0,0
9382,Boys on the Side,18.44,1,1,0,0
6715,The Cure,21.62,1,0,0,0
18256,Castle Freak,15.45,1,0,1,0
22625,Circle of Friends,12.9,1,0,0,1
2292,Clerks,238.92,0,1,0,0
1909,Don Juan DeMarco,61.44,1,1,0,1
8984,Disclosure,73.37,1,0,0,1
61813,Dream Man,1.38,0,0,0,0
4954,Drop Zone,34.13,0,0,0,0
62488,Destiny Turns on the Radio,5.18,0,1,0,0
10531,Death and the Maiden,33.18,1,0,0,0
11929,Dolores Claiborne,60.64,1,0,0,0
8467,Dumb and Dumber,575.72,0,1,0,0
10451,Eat Drink Man Woman,28.23,1,1,0,1
20156,Exotica,24.49,1,0,0,0
18395,Exit to Eden,12.28,0,1,0,1
522,Ed Wood,200.48,1,1,0,0
397,French Kiss,60.75,0,1,0,1
10525,Forget Paris,21.96,1,1,0,1
27985,Far from Home: The Adventures of Yellow Dog,11.67,1,0,0,0
15789,A Goofy Movie,128.97,0,1,0,1
27303,Hideaway,13.29,1,0,0,0
21183,Fluke,19.52,1,0,0,0
10954,Farinelli,12.83,1,0,0,0
47867,Gordy,2.6,1,0,0,0
72031,The Glass Shield,5.37,1,0,0,0
14275,Hoop Dreams,35.12,0,0,0,0
1024,Heavenly Creatures,97.18,1,0,0,0
17207,Houseguest,8.84,0,1,0,0
13701,Immortal Beloved,33.75,1,0,0,1
14819,Heavyweights,36.27,1,1,0,0
32631,The Hunted,11.28,0,0,0,0
11777,I.Q.,38.53,1,1,0,1
628,Interview with the Vampire,476.27,0,0,1,1
87729,Jefferson in Paris,5.88,1,0,0,1
18713,The Jerky Boys,5.29,0,1,0,0
6280,Junior,119.54,0,1,0,1
9061,Just Cause,44.2,1,0,0,0
37108,A Kid in King Arthur's Court,16.66,0,1,0,0
6071,Kiss of Death,31.08,1,0,0,0
11,Star Wars,2057.71,0,0,0,0
9587,Little Women,74.29,1,0,0,1
19101,A Little Princess,68.93,1,0,0,0
49980,Ladybird Ladybird,7.58,1,0,0,0
17961,L'Enfer,10.21,1,0,0,0
18183,Like Water for Chocolate,25.7,1,0,0,1
4476,Legends of the Fall,199.78,1,0,0,1
11008,Major Payne,56.27,0,1,0,0
47504,Little Odessa,12.79,1,0,0,0
32325,Mi Vida Loca,5.87,1,0,0,0
43742,Love Affair,6.67,1,0,0,1
28313,Losing Isaiah,14.81,1,0,0,0
11318,The Madness of King George,25.19,1,1,0,0
3036,Mary Shelley's Frankenstein,91.18,1,0,1,1
40490,Man of the House,15.32,0,1,0,0
24070,Mixed Nuts,14.63,1,1,0,1
8986,Milk Money,18.83,0,1,0,1
10510,Miracle on 34th Street,65.18,1,0,0,0
17402,Miami Rhapsody,4.91,0,1,0,1
38722,My Family,7.66,1,1,0,0
8438,Murder in the First,49.52,1,0,0,0
11593,Nobody's Fool,21.05,1,1,0,0
1945,Nell,43.81,1,0,0,0
39310,New Jersey Drive,5.17,1,0,0,0
109560,New York Cop,0.0,1,0,0,0
56428,Beyond Bedlam,3.01,0,0,1,0
63105,Nemesis 2 - Nebula,5.57,0,0,0,0
131957,Nina Takes a Lover,4.54,1,0,0,1
241,Natural Born Killers,286.47,1,0,0,0
9058,Only You,32.63,1,1,0,1
527,Once Were Warriors,36.85,1,0,0,0
18220,Poison Ivy II: Lily,14.66,1,0,0,1
6950,Outbreak,166.0,1,0,0,0
101,Leon: The Professional,1301.42,1,0,0,0
63020,The Perez Family,6.06,1,1,0,1
2307,A Pyromaniac's Love Story,3.63,1,1,0,1
680,Pulp Fiction,2674.8,0,0,0,0
41478,Panther,7.94,1,0,0,0
25296,Pushing Hands,5.96,1,1,0,0
40156,Priest,13.1,1,0,0,1
11450,Quiz Show,85.33,1,0,0,0
30304,Picture Bride,5.11,1,0,0,0
10452,Queen Margot,25.1,1,0,0,0
12106,The Quick and the Dead,135.55,0,0,0,0
161495,Roommates,6.36,1,1,0,0
3586,Prêt-à-Porter,15.15,1,1,0,0
110,Three Colors: Red,80.84,1,0,0,1
108,Three Colors: Blue,100.8,1,0,0,0
109,Three Colors: White,71.61,1,1,0,0
159185,"Red Firecracker, Green Firecracker",3.44,1,0,0,0
36357,Rent-a-Kid,7.12,0,1,0,0
92769,Relative Fear,3.03,1,0,1,0
28033,Stuart Saves His Family,4.5,1,1,0,0
22586,The Swan Princess,82.36,0,0,0,0
14334,The Secret of Roan Inish,7.82,1,0,0,0
2636,The Specialist,102.49,0,0,0,0
2164,Stargate,291.98,0,0,0,0
11395,The Santa Clause,157.65,1,1,0,0
278,The Shawshank Redemption,2536.62,1,0,0,0
9905,Shallow Grave,81.01,0,0,0,0
87078,Suture,5.15,1,0,0,0
12527,Strawberry and Chocolate,8.53,1,1,0,0
20306,Swimming with Sharks,36.81,0,1,0,0
36614,The Sum of Us,9.4,1,1,0,1
27993,Senior Trip,11.71,0,1,0,0
31439,To Live,24.31,1,0,0,1
9067,Tank Girl,48.0,0,1,0,0
9059,Tales from the Crypt: Demon Knight,36.21,0,1,1,0
193,Star Trek: Generations,144.91,0,0,0,0
25066,Tales from the Hood,13.49,0,0,1,0
46797,Tom & Viv,5.07,1,0,0,1
12122,Village of the Damned,55.0,0,0,1,0
11381,Tommy Boy,105.01,0,1,0,0
32636,Vanya on 42nd Street,10.46,1,0,0,1
36141,The Underneath,7.77,0,0,0,0
95963,The Walking Dead,4.15,1,0,0,0
1587,What's Eating Gilbert Grape,291.1,1,0,0,1
9271,Virtuosity,53.65,0,0,0,0
2064,While You Were Sleeping,112.49,1,1,0,1
19855,The War,16.17,1,0,0,0
60855,Double Happiness,2.99,0,1,0,1
236,Muriel's Wedding,36.59,1,1,0,1
48287,The Baby-Sitters Club,10.1,1,1,0,0
3049,Ace Ventura: Pet Detective,513.38,0,1,0,0
2759,"The Adventures of Priscilla, Queen of the Desert",59.24,1,1,0,0
12635,Backbeat,14.82,1,0,0,0
10497,Bitter Moon,42.95,1,0,0,1
11382,Bullets Over Broadway,44.66,0,1,0,0
9331,Clear and Present Danger,123.32,1,0,0,0
10731,The Client,96.29,1,0,0,0
10464,"Corrina, Corrina",30.92,1,1,0,1
34152,Crooklyn,13.25,1,1,0,0
9495,The Crow,304.82,0,0,0,0
29973,Cobb,12.43,1,0,0,0
888,The Flintstones,177.21,0,1,0,0
13,Forrest Gump,2471.53,1,1,0,1
712,Four Weddings and a Funeral,203.34,1,1,0,1
16295,Higher Learning,21.17,1,0,0,1
48992,I Like It Like That,3.86,1,1,0,1
10879,I Love Trouble,16.21,0,1,0,1
10660,It Could Happen to You,54.28,1,1,0,1
10714,The Jungle Book,39.82,1,0,0,0
41647,"The Wonderful, Horrible Life of Leni Riefenstahl",4.7,0,0,0,0
8587,The Lion King,1670.0,1,0,0,0
1689,Little Buddha,28.04,1,0,0,0
11596,New Nightmare,96.59,0,0,1,0
854,The Mask,774.71,0,1,0,1
9359,Maverick,157.17,1,1,0,0
23333,Mrs. Parker and the Vicious Circle,10.89,1,0,0,0
36593,The Naked Gun 33⅓: The Final Insult,168.35,0,1,0,0
12280,The Paper,16.44,1,1,0,0
2788,Reality Bites,59.86,1,0,0,0
10427,Red Rock West,26.43,1,0,0,0
11011,Ri¢hie Ri¢h,133.26,0,1,0,0
49803,Safe Passage,6.53,1,0,0,0
8987,The River Wild,71.9,0,0,0,0
1637,Speed,552.35,0,0,0,0
15128,Speechless,10.57,0,1,0,1
8831,Timecop,93.05,0,0,0,0
36955,True Lies,349.82,0,0,0,0
10449,When a Man Loves a Woman,25.86,1,0,0,1
10395,Wolf,75.73,0,0,0,0
12160,Wyatt Earp,68.14,1,0,0,0
40480,Bad Company,6.02,0,0,0,1
52038,A Man of No Importance,3.4,1,1,0,0
29444,S.F.W.,10.29,1,1,0,0
26352,A Low Down Dirty Shame,13.21,0,1,0,0
39953,"Boys Life: Three Stories of Love, Lust, and Liberation",1.13,1,0,0,0
41580,Colonel Chabert,5.53,1,0,0,0
315,"Faster, Pussycat! Kill! Kill!",22.41,0,0,0,0
22067,Jason's Lyric,5.52,1,0,0,1
18242,The Secret Adventures of Tom Thumb,5.43,0,0,0,0
11667,Street Fighter,107.43,0,0,0,0
32502,Coldblooded,7.75,0,1,0,0
267188,Desert Winds,0.13,0,0,0,0
28732,Fall Time,4.87,1,0,0,0
75555,The Fear,3.59,0,0,1,0
278939,Girl in the Cadillac,4.5,1,0,0,1
291731,Homage,0.01,1,0,0,0
226229,Mirage,2.05,0,0,0,0
203119,Open Season,0.01,0,1,0,0
172923,Dos Crímenes,2.42,0,0,0,0
316098,Brother Minister: The Assassination of Malcolm X,1.92,0,0,0,0
8011,Highlander: The Final Dimension,38.23,0,0,0,0
171857,Federal Hill,2.65,0,0,0,0
2654,In the Mouth of Madness,99.19,0,0,1,0
18069,8 Seconds,10.42,1,0,0,1
19092,Above the Rim,16.87,1,0,0,0
2758,Addams Family Values,172.48,0,1,0,0
38129,Martin Lawrence: You So Crazy,3.2,0,1,0,0
10436,The Age of Innocence,58.41,1,0,0,1
13595,Airheads,72.47,0,1,0,0
46094,The Air Up There,15.59,0,1,0,0
9409,Another Stakeout,25.84,0,1,0,0
11853,Bad Girls,27.46,1,1,0,0
16771,Barcelona,9.46,1,1,0,1
46924,Being Human,7.89,1,1,0,0
11041,The Beverly Hillbillies,30.64,0,1,0,0
306,Beverly Hills Cop III,141.59,0,1,0,0
14522,Black Beauty,27.24,1,0,0,0
26203,Blink,17.52,1,0,0,0
178,Blown Away,46.78,1,0,0,0
19819,Blue Chips,17.65,1,0,0,0
57834,Blue Sky,13.34,1,0,0,1
4722,Body Snatchers,36.2,0,0,1,0
18215,Boxing Helena,21.65,1,0,0,1
1607,A Bronx Tale,140.12,1,0,0,0
26391,Cabin Boy,11.2,0,1,0,0
117553,Calendar Girl,5.14,1,1,0,0
6075,Carlito's Way,248.93,1,0,0,0
11310,City Slickers II: The Legend of Curly's Gold,37.16,1,1,0,0
18658,Clean Slate,11.14,0,1,0,0
9350,Cliffhanger,187.36,0,0,0,0
9612,Coneheads,75.68,0,1,0,0
2124,Color of Night,44.37,1,0,0,1
26261,Cops & Robbersons,16.32,0,1,0,0
19176,The Cowboy Way,15.58,0,1,0,0
49299,Dangerous Game,6.21,1,0,0,0
11566,Dave,70.87,0,1,0,0
9571,Dazed and Confused,182.79,1,1,0,0
9739,Demolition Man,313.77,0,0,0,0
34444,Even Cowgirls Get the Blues,11.87,1,1,0,1
26141,Fatal Instinct,15.04,0,1,0,0
10997,Farewell My Concubine,34.96,1,0,0,0
50463,The Favor,3.79,1,1,0,1
10443,Fearless,31.36,1,0,0,0
20239,Fear of a Black Hat,6.11,0,1,0,0
16297,With Honors,20.12,1,1,0,0
18551,Flesh and Bone,10.03,1,0,0,1
25440,Widows' Peak,2.82,0,1,0,1
9024,For Love or Money,29.61,0,1,0,1
37233,The Firm,161.38,1,0,0,0
1634,Free Willy,134.1,0,0,0,0
13815,Fresh,21.83,1,0,0,0
5503,The Fugitive,379.92,0,0,0,0
35588,Geronimo: An American Legend,17.89,1,0,0,0
2087,The Getaway,33.57,1,0,0,0
41579,Getting Even with Dad,15.91,0,1,0,0
18620,Go Fish,3.45,1,0,0,1
41006,A Good Man in Africa,7.99,1,1,0,0
4916,Guilty as Sin,11.23,1,0,0,0
2019,Hard Target,77.46,0,0,0,0
31642,Heaven & Earth,19.96,1,0,0,0
9255,Hot Shots! Part Deux,148.12,0,1,0,0
26271,Live Nude Girls,6.55,0,1,0,0
10612,The Englishman Who Went Up a Hill But Came Down a Mountain,30.01,1,1,0,1
2259,The House of the Spirits,48.52,1,0,0,1
16097,House Party 3,5.64,0,1,0,0
11934,The Hudsucker Proxy,90.62,1,1,0,0
106143,I'll Do Anything,8.55,1,1,0,0
12475,In the Army Now,21.12,0,1,0,0
9386,In the Line of Fire,126.64,1,0,0,0
7984,In the Name of the Father,115.64,1,0,0,0
59930,The Inkwell,3.37,1,1,0,1
15765,What's Love Got to Do with It,32.67,1,0,0,0
31643,Jimmy Hollywood,9.22,0,1,0,0
6,Judgment Night,29.03,0,0,0,0
329,Jurassic Park,1494.27,0,0,0,0
10909,Kalifornia,69.52,0,0,0,0
507,Killing Zoe,38.21,1,0,0,0
34024,King of the Hill,14.65,1,0,0,0
29918,Lassie,20.46,1,0,0,0
9593,Last Action Hero,224.66,0,1,0,0
42580,Life With Mikey,12.46,0,1,0,0
22317,Lightning Jack,15.74,0,1,0,0
1413,M. Butterfly,16.4,1,0,0,1
12121,Made in America,30.64,0,1,0,0
2246,Malice,38.79,1,0,0,0
10502,The Man without a Face,42.98,1,0,0,0
10440,Manhattan Murder Mystery,58.01,0,1,0,0
9516,Menace II Society,59.21,1,0,0,0
2320,Executive Decision,87.17,1,0,0,0
5879,In the Realm of the Senses,40.67,1,0,0,1
83718,What Happened Was...,5.17,1,1,0,1
11971,Much Ado About Nothing,65.39,1,1,0,1
2625,Mr. Jones,16.15,1,0,0,1
31911,Mr. Wonderful,12.01,0,1,0,1
788,Mrs. Doubtfire,499.78,1,1,0,0
21450,Naked,38.83,1,1,0,0
11231,The Next Karate Kid,67.5,0,0,0,0
41588,The New Age,3.72,1,1,0,0
10447,No Escape,33.1,1,0,0,0
31586,North,29.79,1,1,0,0
9300,Orlando,20.48,1,0,0,1
9559,A Perfect World,119.7,1,0,0,0
9800,Philadelphia,315.43,1,0,0,0
713,The Piano,93.56,1,0,0,1
8291,Poetic Justice,20.35,1,0,0,1
18133,The Program,12.4,1,0,0,0
25557,The Puppet Masters,18.18,0,0,1,0
22588,Radioland Murders,10.17,1,1,0,1
10872,The Ref,35.31,0,1,0,0
1245,The Remains of the Day,73.01,1,0,0,1
11858,Renaissance Man,29.75,0,1,0,0
7007,Rising Sun,61.86,1,0,0,0
10467,The Road to Wellville,16.81,0,1,0,1
5550,RoboCop 3,98.72,0,0,0,0
8005,Robin Hood: Men in Tights,183.63,0,1,0,0
2088,Romeo Is Bleeding,17.98,1,0,0,0
10412,Romper Stomper,43.02,1,0,0,0
47889,Ruby in Paradise,5.71,1,0,0,1
14534,Rudy,61.94,1,0,0,0
56583,The Saint of Fort Washington,3.63,1,0,0,0
41878,Savage Nights,6.3,1,0,0,0
424,Schindler's List,1354.98,1,0,0,0
35233,The Scout,16.08,1,1,0,0
14291,Searching for Bobby Fischer,38.94,1,0,0,0
103413,Second Best,5.2,1,0,0,0
11236,The Secret Garden,75.69,1,0,0,0
11592,Serial Mom,46.31,0,1,1,0
8850,The Shadow,48.1,0,0,0,0
10445,Shadowlands,22.5,1,0,0,1
695,Short Cuts,47.97,1,1,0,0
43535,A Simple Twist of Fate,12.15,1,0,0,0
12519,Sirens,12.81,1,1,0,0
23210,Six Degrees of Separation,29.47,1,1,0,0
858,Sleepless in Seattle,196.72,1,1,0,1
867,Sliver,50.78,1,0,0,0
78,Blade Runner,1201.2,1,0,0,0
13203,Son in Law,31.1,1,1,0,1
10442,So I Married an Axe Murderer,45.77,0,1,0,1
11074,Striking Distance,75.76,0,0,0,0
33367,Harem,3.71,1,0,0,1
9607,Super Mario Bros.,76.0,0,1,0,0
17585,Surviving the Game,20.16,0,0,0,0
9057,Terminal Velocity,30.61,0,0,0,0
20967,Thirty Two Short Films About Glenn Gould,6.1,1,0,0,0
10635,Threesome,25.03,1,1,0,1
9479,The Nightmare Before Christmas,652.41,0,0,0,0
10057,The Three Musketeers,71.35,0,1,0,0
11969,Tombstone,198.23,1,0,0,0
41590,Trial by Jury,4.13,1,0,0,0
319,True Romance,240.19,0,0,0,1
26408,The War Room,9.26,0,0,0,0
15139,The Pagemaster,59.6,0,0,0,0
161158,"Paris, France",3.37,1,1,0,0
218473,"The Beans of Egypt, Maine",0.49,0,0,0,0
85247,Killer,2.01,1,0,0,1
11446,Welcome to the Dollhouse,36.23,1,1,0,0
51980,Germinal,16.8,1,0,0,1
24405,Chasers,13.41,0,1,0,1
11655,Cronos,51.22,1,0,1,0
11800,Naked in New York,2.72,0,1,0,1
8223,Kika,21.94,1,1,0,0
14587,Bhaji on the Beach,5.26,1,1,0,0
31504,Little Big League,9.38,0,1,0,0
41653,The Slingshot,6.36,1,0,0,0
53185,Wide Eyed and Legless,0.0,1,1,0,1
95743,Foreign Student,0.0,1,0,0,1
23637,"Ciao, Professore!",26.81,0,1,0,0
17600,Spanking the Monkey,12.22,1,1,0,0
10897,The Little Rascals,70.07,0,1,0,1
349394,À la mode,0.0,0,1,0,0
21352,Andre,12.87,1,0,0,0
68806,The Escort,3.52,1,0,0,0
37345,Princess Caraboo,4.23,1,1,0,0
32562,The Celluloid Closet,13.39,0,0,0,0
47507,Café au Lait,4.44,1,1,0,1
25403,Dear Diary,18.01,1,1,0,0
124304,I Don't Want to Talk About It,3.31,1,0,0,1
9066,The Brady Bunch Movie,30.58,0,1,0,0
771,Home Alone,749.29,0,1,0,0
251,Ghost,423.03,1,0,0,1
812,Aladdin,1059.64,0,1,0,1
280,Terminator 2: Judgment Day,1296.61,0,0,0,0
581,Dances with Wolves,334.07,1,0,0,0
80350,Tough and Deadly,3.93,1,0,0,0
268,Batman,655.85,0,0,0,0
274,The Silence of the Lambs,1370.09,1,0,0,0
408,Snow White and the Seven Dwarfs,602.79,0,0,0,0
10020,Beauty and the Beast,923.42,0,0,0,1
10895,Pinocchio,433.46,0,0,0,0
114,Pretty Woman,551.57,0,1,0,1
41043,Window to Paris,4.37,1,1,0,0
576,The Wild Bunch,88.74,0,0,0,0
15477,Love and a .45,8.4,0,0,0,0
59146,The Wooden Man's Bride,2.94,1,0,0,1
30528,Bye Bye Love,9.68,0,1,0,1
7300,One Fine Day,53.94,0,1,0,1
10824,Candyman: Farewell to the Flesh,23.69,0,0,1,0
261246,Century,3.03,1,0,0,1
275,Fargo,633.39,1,0,0,0
25059,Homeward Bound II: Lost in San Francisco,41.23,1,1,0,0
